product,title,rating,content
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Do not purchase.,1.0,They smell horrible. I purchased them because it was a great deal but now I wish I had reviewed the reviews before purchasing.  I do not know how anyone loves these. I am thankful that I did not spend a lot of money for them.
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Smells bad,5.0,Smells weird !!
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Worst quality I've ordered from Amazon,1.0,"Ordered several different kind of masks I usually get multiple layered disposable but I went with these because I was trying to save a couple bucks.Not worth it not worth it at all all I did was completely waste money, these are not usable!!! Now I'm going to have to pay double to get the more expensive ones that I like these were complete 100% out of pocket waste. I might as well just set my money on fire.There's open spaces at my cheeks and under my chin or germs can just fly out into people's faces it does not protect at all. I am vaccinated but I can feel my breath pouring out of the sides and under the chin area of this so I know it is not keeping other people safe from my germs.I went and wasted 10 more dollars on cloth masks to go over this to keep it sealed around my face but as luck has it, I got really bad cloth masks.When I open the container I wasn't paying attention and the cloth masks I got to go over the top don't have a wire for the nose so they don't keep these masks down either. I can still feel my breath going out through the sides and down at my neck.These disposable masks do have a wire but it doesn't help and in a bunch of The masks I checked in The wire only covers like half of one part there's like wire remnants in it or something. Worst quality I ever got I feel like I was robbed. Literally feel like you took the money right out of my hands against my will because you gave me unusable garbage."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask","Finally, a 12 hour mask!",5.0,I’ve been struggling with wearing a mask through my 12 hour shifts at the hospital.  It’s hard to breathe.  One brand Gives me headaches after a couple hours.  Many of them break down after a few hours and your getting fluff in your mouth the rest of the shift.  These masks have eliminated all those problems.  I can comfortably wear this mask for twelve hours straight with no issues.
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",I love this product,5.0,It very comfortable and light weight it's worth every penny
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Hard to beat that value,4.0,"Overall very pleased with these. It's hard to beat 100 masks for $10 and they seem to be the same quality as other surgical-style masks so I'm happy with them and will definitely buy them again if I run out of them. The only slight issue I've had is that they have an unpleasant metallic smell right out of the bag, it mostly dissipates after a few minutes but if you're particularly sensitive to smells it may bother you."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",nice fit,5.0,"these are thinner than the ones with the white on the inside but i think that’s what makes them more breathable. it depends on your skin sensitivity, but i think these are good & they don’t irritate me as other masks would."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Stylish mask,5.0,I love these face mask. They coordinate well with my wardrobe. They don’t draw attention like wearing those blue mask. Even though I know that wearing mask is what is normal now. It’s just something about having a more basic black mask that I love.
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Affordable,5.0,Perfect size and color!
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",MASK BAG WAS WIDE OPEN. GROSS!!,1.0,"My mask just arrived and I cut the Amazon envelope, when I opened it, the mask bag is wide open. This is supposed to be mask for health reason. How can I trust this mask if it was wide open. Not closed at all! Disgusting and so unsanitary. Gross! Look in the photo!!!"
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Smells like a skunk,1.0,Just bought. Came open package. Smells like a skunk just sprayed all over it. Had to put it the trunk to return it after work because it stunk up my car. Don’t buy this product! You’ll regret it.
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Not the same as before,2.0,"I have ordered these 4 times since spring- specifically selecting “reorder” each time so I was getting the same. They were really great quality in spring, so when the price was good in June I reordered.  I understand supply and demand,  so I wasn’t shocked to an increase when I ordered for the 3rd time as the start of school neared, but thought the 200+% increase was a bit excessive. The packaging was different but the product seemed similar. I ordered again this week to replenish my dwindling stock. It was up another $1.00, the packaging was, again, different, and this time the product is very sub-par. It looks similar, but it’s about half the thickness, the ear loops are thinner and feel less sturdy and the nose piece is not as solid. The original quality which kept me reordering is definitely gone, and add to that the price increase- I will not be repurchasing."
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Stylish and awesome,5.0,I love the appearance of these masks and they are very well made! I cant tell you how many times the bands have snapped when I have used to traditional and cheaper white masks.
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",5 masks broke in a span of 5 hours,1.0,These masks are JUNK!! I had 5 break on me in a span of 8 hours! I have to wear a mask at work and would like to not have to change it out every couple of HOURS!! Do not buy!! They are not made durable!
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Latina mom approved,5.0,"Mom wanted new facemasks, but got some colored ones at her work that smelled like chemicals. These, however, did not smell at all, except for that ""fresh off the press"" factory smell, but that is about it.If you like to wear black all the time and need facemasks that are worth the money, these are the ones. 10/10, only issue is that they don't come in a 1000 piece bulk pack. Still, 2x 50 piece resealable bags are great for the average consumer.As an IT specialist visiting many homes and offices, although I need to change masks very often to avoid cross-contamination, I've bought these many times over just because the quality is consistent, even after four months of continuous buying. Great product. And yes, even if you're vaccinated like I am, please wear a mask :)"
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Horrible Smell,1.0,I’m not the one to write bad reviews but in this case I apologize. Yes is a great deal but is not worth it. I received this mask on Monday 7/27/21 and only use one ( same day I received it) I had to sprayed it to get rid of the horrible smell… few hours later I ended up with a horrible headache is been 4 days and I’m still experiencing horrible headaches. I don’t recommend it!!! and they are not soft kind of itchy too.
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask","Unpleasant odor, no way can be used",1.0,These masks have a strong plastic odor. Awful!!!
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",Worst masks I have ever worn!!!,1.0,"These have got to be the worst masks I have ever bought and worn! First the elastic breaks easily, and even tho I have a big head I have only had the elastic break of masks, different brands, on 3 occasions since COVID started. With these masks it has happen 4 times in a bit more than 24 hours! Aside from the flimsy engineering, the second thing that sucks about them is this disgusting chemical smell on the mask. I’m not sure what they smell like but it’s gross. The smell also stays on your skin so even after you take it off the smell lingers and a long time you almost need to wash up every time!If you are looking for masks these are not it!"
"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask","Comfortable, nice fit",5.0,"I teach in an all day preschool and have to wear masks all day. I used to wear just cloth masks, but some of them are too thick for me to communicate clearly with the children and my coworkers. I like the weight of these. I feel protected (the children 2 & up also wear masks). I like the black better than the plain blue doctors’ style. These have a flat, flexible nose wire to fit then close to my face. I wear glasses so that’s important to prevent the glasses from fogging up.I am very sensitive to textures and smells. These masks do not have an odor that I’ve noticed.I have a relatively small face. My husband has an average-large face. These fit bit of us well."
